ticket_id,account,created_date,resolved_date,category,priority,status,resolution_hours,satisfaction_rating,agent_name
TKT-000046,Betasoloin,2017-07-01,2017-07-04,feature_request,medium,resolved,85.0,4.0,Philip Cannon
TKT-000047,Betasoloin,2017-11-05,2017-11-05,technical,critical,resolved,4.0,5.0,John Pierce
TKT-000048,Betasoloin,2017-12-26,,technical,low,waiting_on_customer,,,Shane Henderson
TKT-000049,Betasoloin,2017-07-15,2017-07-24,onboarding,low,resolved,232.0,2.0,Joshua Blair
TKT-000050,Betatech,2017-01-16,2017-01-16,billing,critical,resolved,7.0,5.0,Eric Carney
TKT-000051,Betatech,2017-11-11,2017-11-13,billing,medium,resolved,63.0,4.0,Jessica Holmes
TKT-000052,Betatech,2017-11-29,2017-12-01,billing,medium,resolved,54.0,5.0,Danny Morgan
TKT-000053,Betatech,2017-07-31,2017-08-09,technical,low,resolved,216.0,3.0,Crystal Robinson
TKT-000054,Betatech,2017-05-25,2017-05-25,technical,critical,resolved,1.0,,Mark Perez
TKT-000055,Betatech,2017-09-05,,onboarding,low,waiting_on_customer,,,Shannon Jones
TKT-000056,Betatech,2017-05-21,2017-05-22,onboarding,low,resolved,46.0,,Michael Lewis
TKT-000057,Betatech,2017-12-21,2017-12-22,billing,high,resolved,41.0,,Timothy Duncan
TKT-000058,Betatech,2017-12-19,2017-12-25,technical,low,resolved,147.0,,Richard Aguirre
TKT-000059,Betatech,2017-11-17,,billing,high,open,,,Brent Jordan
TKT-000060,Betatech,2017-10-18,2017-10-18,technical,high,resolved,17.0,,John Daniel
TKT-000061,Betatech,2017-11-26,2017-12-02,onboarding,low,resolved,156.0,,Victoria Garcia
TKT-000062,Betatech,2017-12-08,2017-12-11,billing,medium,resolved,74.0,3.0,Gerald Hensley
TKT-000063,Betatech,2017-06-14,2017-06-15,technical,high,resolved,42.0,4.0,Connor West
TKT-000064,Betatech,2017-08-26,2017-08-29,technical,low,resolved,74.0,3.0,Donald Wright
TKT-000065,Betatech,2017-10-18,2017-10-23,onboarding,low,resolved,138.0,,Jessica Callahan
TKT-000066,Betatech,2017-10-31,2017-11-03,technical,medium,resolved,89.0,,Amber Kidd
TKT-000067,Betatech,2017-10-17,2017-10-20,technical,medium,resolved,73.0,,Tracy House
TKT-000068,Betatech,2017-05-01,,onboarding,high,waiting_on_customer,,,Carol Tucker
TKT-000069,Betatech,2017-01-06,2017-01-12,feature_request,low,resolved,150.0,4.0,James Brown
TKT-000070,Betatech,2017-05-29,2017-05-30,feature_request,high,resolved,44.0,5.0,William Baker
TKT-000071,Betatech,2017-11-10,2017-11-10,bug_report,critical,resolved,6.0,4.0,Jordan Henderson
TKT-000072,Betatech,2017-06-08,,onboarding,critical,escalated,,,Whitney Peters
TKT-000073,Betatech,2017-12-17,2017-12-20,account_management,medium,resolved,75.0,3.0,Brittney Phillips
TKT-000074,Bioholding,2017-07-28,2017-07-30,feature_request,medium,resolved,56.0,,Lauren Daniels
TKT-000075,Bioholding,2017-05-23,2017-05-28,billing,low,resolved,121.0,1.0,Amy Silva
TKT-000076,Bioholding,2017-06-13,2017-06-13,account_management,medium,resolved,16.0,,Sarah Moore
TKT-000077,Bioholding,2017-09-14,2017-09-17,technical,low,resolved,95.0,,Angela Lopez
TKT-000078,Bioholding,2017-07-18,,account_management,low,waiting_on_customer,,,Megan Young
TKT-000079,Bioholding,2017-10-03,2017-10-04,billing,medium,resolved,40.0,,Steve Sanchez
TKT-000080,Bioholding,2017-07-01,2017-07-01,technical,critical,resolved,1.0,5.0,Lisa Barnes
TKT-000081,Bioholding,2017-03-23,,feature_request,critical,escalated,,,Kelly Donovan
TKT-000082,Bioholding,2017-02-01,2017-02-01,technical,high,resolved,8.0,5.0,Mike Allen
TKT-000083,Bioholding,2017-11-14,2017-11-15,onboarding,high,resolved,42.0,,Michael Evans
TKT-000084,Bioholding,2017-01-16,2017-01-17,technical,high,resolved,37.0,4.0,Paul Jones
TKT-000085,Bioholding,2017-12-12,2017-12-13,bug_report,high,resolved,34.0,,Zachary Ferrell
TKT-000086,Bioholding,2017-01-08,2017-01-10,billing,medium,resolved,49.0,,Daniel Baker
TKT-000087,Bioholding,2017-12-13,2017-12-14,billing,high,resolved,24.0,,Shirley Suarez
TKT-000088,Bioholding,2017-04-16,,billing,high,open,,,Christopher Bass
TKT-000089,Bioholding,2017-05-29,2017-06-07,account_management,low,resolved,230.0,3.0,Lisa Archer
TKT-000090,Bioplex,2017-06-28,2017-06-30,account_management,medium,resolved,53.0,,Aimee Montoya
TKT-000091,Bioplex,2017-03-10,2017-03-14,technical,medium,resolved,100.0,,Matthew Mcmillan
TKT-000092,Bioplex,2017-05-02,2017-05-05,technical,low,resolved,73.0,2.0,Brian Rodriguez
TKT-000093,Bioplex,2017-12-16,2017-12-20,bug_report,medium,resolved,115.0,2.0,Denise Jacobs
TKT-000094,Bioplex,2017-05-01,2017-05-02,onboarding,low,resolved,46.0,5.0,Christina Walters
TKT-000095,Bioplex,2017-12-28,2017-12-30,feature_request,medium,resolved,67.0,,John Whitehead
TKT-000096,Bioplex,2017-08-24,,feature_request,high,open,,,Anna Henderson
TKT-000097,Bioplex,2017-12-28,2017-12-30,billing,low,resolved,66.0,5.0,Aaron Wise
TKT-000098,Bioplex,2017-05-29,2017-05-30,onboarding,high,resolved,36.0,,Deborah Figueroa
TKT-000099,Bioplex,2017-08-23,2017-08-23,account_management,medium,resolved,17.0,,Jessica Smith
TKT-000100,Blackzim,2017-12-25,2017-12-29,bug_report,medium,resolved,107.0,1.0,Stephen Mckee
TKT-000101,Blackzim,2017-09-12,2017-09-15,onboarding,low,resolved,95.0,3.0,Sandra Aguilar
TKT-000102,Blackzim,2017-11-02,2017-11-04,feature_request,medium,resolved,70.0,3.0,Cameron Parker
TKT-000103,Blackzim,2017-01-06,2017-01-07,billing,medium,resolved,31.0,5.0,Rebecca Valencia
TKT-000104,Blackzim,2017-10-17,2017-10-26,onboarding,low,resolved,234.0,,Christine Wright
TKT-000105,Blackzim,2017-05-31,,billing,medium,waiting_on_customer,,,Richard Henson
TKT-000106,Blackzim,2017-05-06,2017-05-10,technical,low,resolved,98.0,,Marc Moore
TKT-000107,Blackzim,2017-05-11,,billing,low,waiting_on_customer,,,Sharon Cherry
TKT-000108,Blackzim,2017-12-28,,technical,medium,open,,,Sierra Johnson
TKT-000109,Blackzim,2017-11-23,2017-11-24,onboarding,low,resolved,24.0,,Evelyn Galvan
TKT-000110,Blackzim,2017-08-17,2017-08-18,bug_report,high,resolved,35.0,4.0,Sharon Cochran
TKT-000111,Blackzim,2017-08-01,2017-08-10,technical,low,resolved,235.0,2.0,Richard Rodriguez
TKT-000112,Bluth Company,2017-11-10,2017-11-16,billing,low,resolved,148.0,1.0,Shannon Walker
TKT-000113,Bluth Company,2017-02-04,2017-02-04,technical,high,resolved,10.0,,Julia Torres
TKT-000114,Bluth Company,2017-01-31,2017-02-02,billing,medium,resolved,51.0,4.0,Crystal Johnson
TKT-000115,Bluth Company,2017-02-13,2017-02-15,feature_request,medium,resolved,63.0,,Garrett Lin
TKT-000116,Bluth Company,2017-12-10,2017-12-13,technical,medium,resolved,75.0,1.0,Diana May
TKT-000117,Bluth Company,2017-05-19,2017-05-20,technical,medium,resolved,30.0,,William Herrera
TKT-000118,Bluth Company,2017-08-25,2017-08-26,feature_request,high,resolved,24.0,4.0,Ashley Waller
TKT-000119,Bluth Company,2017-01-18,2017-01-18,feature_request,high,resolved,22.0,,Victor Baker
TKT-000120,Bluth Company,2017-08-17,2017-08-21,account_management,medium,resolved,113.0,3.0,Jeffrey Chandler
TKT-000121,Bluth Company,2017-01-03,2017-01-04,technical,medium,resolved,35.0,3.0,Larry Dixon
TKT-000122,Bluth Company,2017-08-26,2017-08-30,technical,low,resolved,115.0,,Kenneth Scott
TKT-000123,Bluth Company,2017-06-15,,technical,medium,open,,,April Frost
TKT-000124,Bubba Gump,2017-10-02,,billing,high,open,,,Michelle Harmon
TKT-000125,Bubba Gump,2017-05-12,2017-05-13,account_management,high,resolved,39.0,3.0,Helen Jones
TKT-000126,Bubba Gump,2017-07-03,2017-07-10,feature_request,low,resolved,178.0,4.0,Erin Edwards
TKT-000127,Bubba Gump,2017-04-18,2017-04-21,technical,medium,resolved,81.0,,Michelle Evans
TKT-000128,Bubba Gump,2017-12-11,2017-12-19,technical,low,resolved,214.0,,Jason Powell
TKT-000129,Bubba Gump,2017-08-27,2017-08-27,feature_request,medium,resolved,18.0,,Cameron Fisher
TKT-000130,Bubba Gump,2017-03-05,2017-03-07,billing,low,resolved,61.0,4.0,Megan Orr
TKT-000131,Bubba Gump,2017-02-22,2017-02-22,billing,medium,resolved,16.0,4.0,Elizabeth Kelley
TKT-000132,Bubba Gump,2017-01-24,2017-01-27,onboarding,medium,resolved,82.0,4.0,Dustin Jordan
TKT-000133,Bubba Gump,2017-09-07,,billing,low,waiting_on_customer,,,Mary Marshall
TKT-000134,Bubba Gump,2017-11-27,,technical,low,escalated,,,Daniel Kennedy
TKT-000135,Bubba Gump,2017-02-15,2017-02-24,onboarding,low,resolved,235.0,,Rebecca Jackson
TKT-000136,Bubba Gump,2017-02-13,,onboarding,low,waiting_on_customer,,,Jose Schultz
TKT-000137,Bubba Gump,2017-12-05,2017-12-09,billing,medium,resolved,97.0,,Robert Potter
TKT-000138,Cancity,2017-04-19,2017-04-24,technical,low,resolved,127.0,4.0,Courtney Gonzalez
TKT-000139,Cancity,2017-12-15,2017-12-16,onboarding,high,resolved,24.0,3.0,David Alvarez
TKT-000140,Cancity,2017-07-06,,account_management,high,waiting_on_customer,,,Angel Perry
TKT-000141,Cancity,2017-06-19,2017-06-28,technical,low,resolved,217.0,2.0,Cheyenne Horton
TKT-000142,Cancity,2017-07-11,2017-07-11,feature_request,critical,resolved,1.0,4.0,David Douglas Jr.
TKT-000143,Cancity,2017-05-12,,technical,high,open,,,Patricia Rodriguez
TKT-000144,Cancity,2017-01-01,2017-01-09,billing,low,resolved,196.0,3.0,Christopher Rubio
TKT-000145,Cancity,2017-11-13,2017-11-13,technical,medium,resolved,20.0,5.0,Amber Wright
TKT-000146,Cancity,2017-06-28,2017-06-30,technical,medium,resolved,64.0,3.0,Joyce Solis
TKT-000147,Cancity,2017-08-20,2017-08-28,billing,low,resolved,209.0,3.0,Victoria Larson
TKT-000148,Cancity,2017-12-24,2017-12-31,technical,low,resolved,168.0,3.0,Stephanie Salazar
TKT-000149,Cancity,2017-02-28,2017-03-01,technical,medium,resolved,28.0,4.0,Kathy Rivas
TKT-000150,Cancity,2017-02-21,2017-02-23,account_management,low,resolved,69.0,,Stephanie Manning
TKT-000151,Cancity,2017-03-17,2017-03-19,billing,medium,resolved,55.0,4.0,David Wright
TKT-000152,Cancity,2017-01-27,2017-01-29,technical,medium,resolved,71.0,5.0,Pamela Boyd
TKT-000153,Cancity,2017-10-18,2017-10-19,account_management,low,resolved,29.0,5.0,Denise Jones
TKT-000154,Cancity,2017-03-12,2017-03-13,technical,high,resolved,44.0,5.0,Devon Flores
TKT-000155,Cancity,2017-12-22,2017-12-22,technical,critical,resolved,1.0,5.0,Brenda Hall
TKT-000156,Cancity,2017-04-08,2017-04-09,account_management,medium,resolved,33.0,4.0,Michelle Brown
TKT-000157,Cancity,2017-10-12,2017-10-12,technical,high,resolved,14.0,5.0,Joshua Perry
TKT-000158,Cancity,2017-11-29,2017-11-30,technical,low,resolved,32.0,,Jason Stein
TKT-000159,Cancity,2017-07-09,2017-07-10,account_management,medium,resolved,25.0,4.0,Melissa Gates
TKT-000160,Cancity,2017-09-03,2017-09-06,bug_report,medium,resolved,89.0,,Jamie Smith
TKT-000161,Cancity,2017-10-26,2017-10-28,technical,medium,resolved,63.0,4.0,Paul Castaneda
TKT-000162,Cancity,2017-11-26,,technical,high,open,,,Jennifer Adkins
TKT-000163,Cancity,2017-08-02,2017-08-03,billing,high,resolved,40.0,3.0,Lindsey Walker
TKT-000164,Cancity,2017-09-01,2017-09-01,bug_report,high,resolved,18.0,,Jeffrey Johnson
TKT-000165,Cancity,2017-03-05,2017-03-05,technical,critical,resolved,6.0,5.0,Michael Powell
TKT-000166,Cancity,2017-04-01,2017-04-06,technical,low,resolved,129.0,3.0,John Anderson
TKT-000167,Cheers,2017-07-17,2017-07-17,onboarding,high,resolved,15.0,4.0,Alyssa Long
TKT-000168,Cheers,2017-03-14,2017-03-15,billing,high,resolved,34.0,4.0,Alyssa Day
TKT-000169,Cheers,2017-02-02,2017-02-09,billing,low,resolved,182.0,,Joel Williams
TKT-000170,Cheers,2017-11-13,2017-11-17,technical,low,resolved,97.0,,Daniel Murphy
TKT-000171,Cheers,2017-08-04,2017-08-08,technical,low,resolved,106.0,3.0,Jamie Walton
TKT-000172,Cheers,2017-11-09,2017-11-12,technical,medium,resolved,90.0,4.0,Darlene Miller
TKT-000173,Cheers,2017-01-15,2017-01-15,billing,medium,resolved,23.0,5.0,Joshua Cooke
TKT-000174,Cheers,2017-08-10,2017-08-12,technical,medium,resolved,67.0,,Matthew Harrington
TKT-000175,Cheers,2017-04-08,2017-04-10,technical,medium,resolved,66.0,4.0,Nicole Herring
TKT-000176,Cheers,2017-07-11,2017-07-16,onboarding,low,resolved,134.0,4.0,Alex Hernandez
TKT-000177,Cheers,2017-01-24,2017-01-26,billing,medium,resolved,56.0,,Michael Elliott
TKT-000178,Cheers,2017-09-12,2017-09-12,technical,critical,resolved,2.0,5.0,Michael Wang
TKT-000179,Cheers,2017-01-20,2017-01-20,technical,high,resolved,22.0,5.0,Lawrence Adkins
TKT-000180,Cheers,2017-05-09,,account_management,high,escalated,,,Robert Oconnell
TKT-000181,Codehow,2017-06-02,2017-06-11,technical,low,resolved,228.0,,Alexander Collins
TKT-000182,Codehow,2017-05-30,2017-06-04,billing,low,resolved,122.0,,Tina Sanders
TKT-000183,Codehow,2017-04-09,2017-04-10,technical,high,resolved,29.0,3.0,Angela Vaughn
TKT-000184,Codehow,2017-12-18,2017-12-24,billing,low,resolved,159.0,3.0,Ashley Barton
TKT-000185,Codehow,2017-04-19,2017-04-28,technical,low,resolved,223.0,3.0,Lindsay Martinez
TKT-000186,Codehow,2017-07-04,2017-07-07,technical,medium,resolved,79.0,,Dr. Hannah Patterson
TKT-000187,Codehow,2017-05-29,2017-05-31,technical,low,resolved,71.0,,Jonathan Peterson
TKT-000188,Codehow,2017-07-30,2017-08-01,billing,medium,resolved,50.0,,Samantha Garcia
TKT-000189,Codehow,2017-09-10,2017-09-12,technical,medium,resolved,69.0,,Madison Poole
TKT-000190,Codehow,2017-10-25,,billing,high,open,,,Jessica Gross
TKT-000191,Codehow,2017-06-24,2017-06-27,account_management,medium,resolved,77.0,,Debra Morton
TKT-000192,Codehow,2017-12-22,,onboarding,critical,waiting_on_customer,,,Karen Graham
TKT-000193,Codehow,2017-06-11,2017-06-15,onboarding,medium,resolved,109.0,2.0,Debra Christian
TKT-000194,Condax,2017-02-01,2017-02-03,technical,medium,resolved,49.0,5.0,Angelica Keith
TKT-000195,Condax,2017-08-13,2017-08-15,technical,medium,resolved,68.0,,John Bishop
TKT-000196,Condax,2017-02-13,2017-02-14,technical,medium,resolved,45.0,4.0,Allen Rosales
TKT-000197,Condax,2017-12-19,,feature_request,medium,escalated,,,Daniel Salinas
TKT-000198,Condax,2017-04-25,2017-04-29,bug_report,medium,resolved,115.0,2.0,Spencer Haynes
TKT-000199,Condax,2017-04-03,,billing,medium,escalated,,,Adam Vaughan
TKT-000200,Condax,2017-09-28,2017-10-01,bug_report,medium,resolved,82.0,,Nathan Freeman
TKT-000201,Condax,2017-12-05,2017-12-07,feature_request,medium,resolved,70.0,3.0,Melissa Brewer
TKT-000202,Condax,2017-08-07,2017-08-09,technical,low,resolved,63.0,,Ricky Davis II
TKT-000203,Condax,2017-06-17,2017-06-17,technical,high,resolved,5.0,5.0,Elizabeth Perkins
TKT-000204,Condax,2017-08-16,,billing,medium,waiting_on_customer,,,Joseph Coleman
TKT-000205,Condax,2017-05-22,2017-05-31,billing,low,resolved,224.0,3.0,Erin Warner
TKT-000206,Condax,2017-06-21,,technical,high,waiting_on_customer,,,David Martinez
TKT-000207,Condax,2017-08-31,2017-09-03,billing,medium,resolved,78.0,3.0,Bryan Herrera
TKT-000208,Condax,2017-07-07,2017-07-08,feature_request,low,resolved,38.0,4.0,Cathy Robinson
TKT-000209,Condax,2017-12-07,2017-12-07,technical,critical,resolved,6.0,5.0,Dr. William Warren
TKT-000210,Condax,2017-08-26,,technical,medium,escalated,,,Brian Lee
TKT-000211,Condax,2017-11-29,2017-11-29,onboarding,medium,resolved,15.0,5.0,Christopher Smith
TKT-000212,Condax,2017-06-06,,technical,medium,escalated,,,Denise Mccann
TKT-000213,Condax,2017-10-15,2017-10-23,billing,low,resolved,209.0,4.0,Melissa Martinez
TKT-000214,Condax,2017-04-16,2017-04-17,feature_request,high,resolved,46.0,,Katherine Salas
TKT-000215,Condax,2017-08-09,2017-08-13,account_management,medium,resolved,99.0,3.0,Julie Alexander
TKT-000216,Condax,2017-10-02,2017-10-02,technical,medium,resolved,13.0,5.0,Anthony Everett
TKT-000217,Condax,2017-05-14,2017-05-14,billing,critical,resolved,1.0,,Rodney Morales
TKT-000218,Condax,2017-11-04,2017-11-06,account_management,medium,resolved,56.0,4.0,Mark Brown
TKT-000219,Condax,2017-12-02,2017-12-03,billing,high,resolved,41.0,,Justin Torres
TKT-000220,Condax,2017-04-18,2017-04-19,technical,high,resolved,33.0,5.0,Bailey Duran DDS
TKT-000221,Conecom,2017-06-12,,technical,low,waiting_on_customer,,,Courtney Mills
TKT-000222,Conecom,2017-09-24,,technical,medium,escalated,,,Jeremy Dalton
TKT-000223,Conecom,2017-12-23,2017-12-24,feature_request,high,resolved,25.0,4.0,Elizabeth Oliver DDS
TKT-000224,Conecom,2017-03-07,2017-03-10,billing,medium,resolved,75.0,2.0,Theresa Clark
TKT-000225,Conecom,2017-04-16,,billing,low,waiting_on_customer,,,Matthew Moore
TKT-000226,Conecom,2017-09-30,2017-10-04,billing,medium,resolved,118.0,,Benjamin Smith
TKT-000227,Conecom,2017-09-27,,feature_request,low,open,,,Kirk Carter
TKT-000228,Conecom,2017-10-24,,account_management,medium,open,,,Michael Warner
TKT-000229,Conecom,2017-05-19,2017-05-23,account_management,low,resolved,109.0,,Michael Bradshaw
TKT-000230,Dalttechnology,2017-11-13,,feature_request,high,waiting_on_customer,,,Lori Guerrero
TKT-000231,Dalttechnology,2017-11-15,,technical,low,open,,,Jessica Stephens
TKT-000232,Dalttechnology,2017-01-27,2017-01-27,technical,critical,resolved,5.0,5.0,Susan Serrano
TKT-000233,Dalttechnology,2017-02-18,2017-02-22,account_management,medium,resolved,114.0,1.0,Christopher Parker
TKT-000234,Dalttechnology,2017-07-01,2017-07-04,billing,low,resolved,75.0,4.0,Laura Roberts
TKT-000235,Dalttechnology,2017-07-16,2017-07-23,bug_report,low,resolved,188.0,,Michael Lyons
TKT-000236,Dalttechnology,2017-09-18,,billing,high,open,,,Kathryn Snyder
TKT-000237,Dalttechnology,2017-12-23,2017-12-31,technical,low,resolved,205.0,,Andrew Reynolds
TKT-000238,Dalttechnology,2017-06-14,2017-06-18,feature_request,medium,resolved,112.0,2.0,David Davis
TKT-000239,Dalttechnology,2017-07-30,2017-07-31,billing,high,resolved,41.0,4.0,Sara Johnston
TKT-000240,Dalttechnology,2017-07-05,2017-07-06,bug_report,medium,resolved,27.0,3.0,Yvonne Chambers
TKT-000241,Dalttechnology,2017-10-16,2017-10-21,feature_request,low,resolved,122.0,1.0,Andrew Avila
TKT-000242,Dalttechnology,2017-03-04,2017-03-12,onboarding,low,resolved,193.0,4.0,Matthew Moon
TKT-000243,Dalttechnology,2017-09-01,2017-09-03,onboarding,low,resolved,55.0,3.0,Kevin Walters
TKT-000244,Dalttechnology,2017-10-02,2017-10-02,billing,high,resolved,18.0,,Brandon Bailey MD
TKT-000245,Dalttechnology,2017-02-01,2017-02-01,technical,critical,resolved,3.0,,Shannon Rivera
TKT-000246,Dalttechnology,2017-04-23,2017-04-25,bug_report,low,resolved,68.0,4.0,Donna Landry
TKT-000247,Dalttechnology,2017-03-17,,billing,medium,open,,,Krista Gibson
TKT-000248,Dalttechnology,2017-10-19,2017-10-21,bug_report,medium,resolved,71.0,3.0,Frank Cordova
TKT-000249,Dalttechnology,2017-01-14,2017-01-14,onboarding,high,resolved,12.0,5.0,Jose Travis
TKT-000250,Dalttechnology,2017-12-21,2017-12-21,billing,medium,resolved,21.0,5.0,Kimberly Gutierrez
TKT-000251,Dalttechnology,2017-11-29,2017-11-30,feature_request,low,resolved,42.0,4.0,Isaiah Avila
TKT-000252,Dalttechnology,2017-01-24,2017-01-27,technical,medium,resolved,77.0,4.0,Olivia Harris
TKT-000253,Dalttechnology,2017-10-23,2017-10-24,billing,high,resolved,34.0,,Tanya Kim
TKT-000254,Dalttechnology,2017-01-01,2017-01-10,onboarding,low,resolved,220.0,1.0,Barbara Dudley
TKT-000255,Dalttechnology,2017-03-30,2017-03-30,technical,critical,resolved,4.0,,Cynthia Moore
TKT-000256,Dalttechnology,2017-08-16,2017-08-20,billing,medium,resolved,102.0,2.0,Kristen Davis
TKT-000257,Dalttechnology,2017-03-21,,technical,medium,escalated,,,Susan Murray MD
TKT-000258,dambase,2017-05-08,,feature_request,medium,open,,,Kathleen Moran
TKT-000259,dambase,2017-10-19,2017-10-21,onboarding,low,resolved,51.0,5.0,Denise Davenport
TKT-000260,dambase,2017-08-26,2017-08-27,technical,medium,resolved,45.0,,Mrs. Kristen Reyes
TKT-000261,dambase,2017-03-07,2017-03-09,feature_request,medium,resolved,55.0,4.0,Katie Suarez
TKT-000262,dambase,2017-05-27,2017-05-31,bug_report,medium,resolved,98.0,2.0,Desiree Tyler
TKT-000263,dambase,2017-09-20,2017-09-24,technical,medium,resolved,106.0,,Timothy Romero
TKT-000264,dambase,2017-11-08,2017-11-17,technical,low,resolved,222.0,,Diane Evans
TKT-000265,dambase,2017-09-02,2017-09-06,billing,medium,resolved,119.0,,Yvonne Burns
TKT-000266,dambase,2017-08-28,2017-09-01,billing,medium,resolved,108.0,1.0,Joshua Reed
TKT-000267,dambase,2017-01-28,2017-02-04,account_management,low,resolved,182.0,,Kimberly Gibson
TKT-000268,dambase,2017-10-23,2017-10-24,billing,high,resolved,42.0,3.0,Colin Terry
TKT-000269,dambase,2017-11-11,2017-11-15,onboarding,medium,resolved,108.0,2.0,Cynthia Rowe
TKT-000270,dambase,2017-05-10,2017-05-19,billing,low,resolved,217.0,,Patrick Thornton
TKT-000271,dambase,2017-08-27,2017-08-28,technical,low,resolved,24.0,,Jasmin Alvarado
TKT-000272,dambase,2017-01-13,2017-01-15,billing,medium,resolved,51.0,5.0,Veronica Simpson
TKT-000273,dambase,2017-07-11,2017-07-15,feature_request,medium,resolved,106.0,3.0,Jonathan Lawrence
TKT-000274,dambase,2017-03-20,,account_management,high,waiting_on_customer,,,Shelly Alexander
TKT-000275,dambase,2017-03-12,,onboarding,high,open,,,Joyce Bowen
