activity_id,opportunity_id,sales_agent,activity_type,activity_date,duration_minutes,outcome
ACT-000066,7GN8Q4LL,Markita Hansen,email,2016-12-09,3,completed
ACT-000067,OLK9LKZB,Niesha Huffines,email,2017-02-09,12,completed
ACT-000068,OLK9LKZB,Niesha Huffines,demo,2017-01-01,110,completed
ACT-000069,OLK9LKZB,Niesha Huffines,follow_up,2017-01-09,11,rescheduled
ACT-000070,OLK9LKZB,Niesha Huffines,email,2016-12-17,8,completed
ACT-000071,OLK9LKZB,Niesha Huffines,call,2017-02-25,12,completed
ACT-000072,OLK9LKZB,Niesha Huffines,meeting,2016-12-29,45,completed
ACT-000073,HAXMC4IX,James Ascencio,call,2016-11-05,30,completed
ACT-000074,HAXMC4IX,James Ascencio,call,2016-12-21,29,rescheduled
ACT-000075,NL3JZH1Z,Anna Snelling,call,2016-12-28,34,completed
ACT-000076,NL3JZH1Z,Anna Snelling,email,2016-12-19,2,rescheduled
ACT-000077,NL3JZH1Z,Anna Snelling,email,2017-02-22,10,completed
ACT-000078,NL3JZH1Z,Anna Snelling,email,2016-11-17,3,completed
ACT-000079,NL3JZH1Z,Anna Snelling,demo,2017-01-07,117,completed
ACT-000080,KWVA7VR1,Gladys Colclough,meeting,2016-12-10,53,completed
ACT-000081,KWVA7VR1,Gladys Colclough,call,2017-01-04,11,rescheduled
ACT-000082,KWVA7VR1,Gladys Colclough,email,2017-01-05,4,completed
ACT-000083,S8DX3XOU,James Ascencio,email,2017-03-03,6,completed
ACT-000084,S8DX3XOU,James Ascencio,email,2017-02-24,11,completed
ACT-000085,S8DX3XOU,James Ascencio,call,2016-12-05,29,rescheduled
ACT-000086,S8DX3XOU,James Ascencio,meeting,2016-11-14,43,cancelled
ACT-000087,S8DX3XOU,James Ascencio,email,2017-01-18,9,completed
ACT-000088,S8DX3XOU,James Ascencio,email,2017-01-21,12,cancelled
ACT-000089,ENB2XD8G,Maureen Marcano,meeting,2017-01-19,76,completed
ACT-000090,ENB2XD8G,Maureen Marcano,call,2017-02-09,37,completed
ACT-000091,ENB2XD8G,Maureen Marcano,email,2017-02-08,10,completed
ACT-000092,ENB2XD8G,Maureen Marcano,meeting,2016-11-30,59,completed
ACT-000093,ENB2XD8G,Maureen Marcano,email,2017-02-18,8,completed
ACT-000094,ENB2XD8G,Maureen Marcano,email,2016-12-12,14,no_answer
ACT-000095,ENB2XD8G,Maureen Marcano,email,2017-01-12,8,rescheduled
ACT-000096,ENB2XD8G,Maureen Marcano,meeting,2017-02-04,82,no_answer
ACT-000097,09YE9QOV,Hayden Neloms,call,2016-11-14,30,cancelled
ACT-000098,09YE9QOV,Hayden Neloms,call,2016-12-10,16,no_answer
ACT-000099,09YE9QOV,Hayden Neloms,call,2017-02-23,15,completed
ACT-000100,09YE9QOV,Hayden Neloms,demo,2016-12-03,44,completed
ACT-000101,3F5MZNEH,Rosalina Dieter,call,2016-12-21,15,cancelled
ACT-000102,3F5MZNEH,Rosalina Dieter,email,2016-12-30,6,no_answer
ACT-000103,3F5MZNEH,Rosalina Dieter,follow_up,2017-01-12,5,completed
ACT-000104,M6WEJXC0,Rosalina Dieter,email,2016-11-28,13,completed
ACT-000105,M6WEJXC0,Rosalina Dieter,meeting,2017-02-05,17,completed
ACT-000106,M6WEJXC0,Rosalina Dieter,demo,2017-01-03,107,completed
ACT-000107,M6WEJXC0,Rosalina Dieter,email,2017-02-20,10,no_answer
ACT-000108,M6WEJXC0,Rosalina Dieter,follow_up,2016-11-15,16,cancelled
ACT-000109,M6WEJXC0,Rosalina Dieter,email,2016-12-12,14,no_answer
ACT-000110,M6WEJXC0,Rosalina Dieter,email,2016-12-25,2,completed
ACT-000111,M6WEJXC0,Rosalina Dieter,email,2017-01-29,2,completed
ACT-000112,M6WEJXC0,Rosalina Dieter,meeting,2016-12-07,40,completed
ACT-000113,M6WEJXC0,Rosalina Dieter,email,2017-02-15,11,completed
ACT-000114,M6WEJXC0,Rosalina Dieter,meeting,2017-01-10,87,no_answer
ACT-000115,M6WEJXC0,Rosalina Dieter,demo,2016-11-12,36,rescheduled
ACT-000116,6PTR7VBR,Versie Hillebrand,meeting,2016-11-11,55,completed
ACT-000117,6PTR7VBR,Versie Hillebrand,email,2017-01-26,8,completed
ACT-000118,6PTR7VBR,Versie Hillebrand,follow_up,2016-11-24,14,completed
ACT-000119,6PTR7VBR,Versie Hillebrand,call,2016-11-23,36,completed
ACT-000120,6PTR7VBR,Versie Hillebrand,call,2017-02-28,19,rescheduled
ACT-000121,6PTR7VBR,Versie Hillebrand,email,2016-12-06,9,no_answer
ACT-000122,6PTR7VBR,Versie Hillebrand,email,2017-01-04,2,rescheduled
ACT-000123,902REDPA,Daniell Hammack,call,2017-03-01,16,no_answer
ACT-000124,902REDPA,Daniell Hammack,email,2017-02-11,9,cancelled
ACT-000125,902REDPA,Daniell Hammack,email,2017-03-05,7,completed
ACT-000126,5J9CMGDV,Elease Gluck,email,2016-12-04,6,completed
ACT-000127,5J9CMGDV,Elease Gluck,email,2016-12-21,12,completed
ACT-000128,5J9CMGDV,Elease Gluck,call,2016-11-16,5,completed
ACT-000129,5J9CMGDV,Elease Gluck,email,2016-11-07,7,completed
ACT-000130,5J9CMGDV,Elease Gluck,meeting,2016-12-13,20,completed
ACT-000131,5J9CMGDV,Elease Gluck,demo,2016-12-13,99,rescheduled
ACT-000132,5J9CMGDV,Elease Gluck,email,2017-01-14,4,completed
ACT-000133,5J9CMGDV,Elease Gluck,call,2017-02-03,43,completed
ACT-000134,5J9CMGDV,Elease Gluck,email,2016-11-29,14,no_answer
ACT-000135,5J9CMGDV,Elease Gluck,email,2016-12-05,6,no_answer
ACT-000136,5J9CMGDV,Elease Gluck,email,2017-02-04,3,rescheduled
ACT-000137,5J9CMGDV,Elease Gluck,email,2017-02-27,9,completed
ACT-000138,JJXRR8R6,James Ascencio,call,2016-12-24,32,completed
ACT-000139,JJXRR8R6,James Ascencio,meeting,2017-02-03,45,completed
ACT-000140,JJXRR8R6,James Ascencio,email,2017-02-16,7,no_answer
ACT-000141,JJXRR8R6,James Ascencio,meeting,2017-01-28,68,completed
ACT-000142,JJXRR8R6,James Ascencio,call,2017-01-05,36,completed
ACT-000143,JJXRR8R6,James Ascencio,email,2017-02-13,11,completed
ACT-000144,WF4HA5NW,Moses Frase,meeting,2016-12-24,40,completed
ACT-000145,WF4HA5NW,Moses Frase,call,2016-12-24,40,completed
ACT-000146,WF4HA5NW,Moses Frase,call,2016-12-22,25,completed
ACT-000147,WF4HA5NW,Moses Frase,call,2016-12-01,19,completed
ACT-000148,WF4HA5NW,Moses Frase,email,2016-12-10,5,completed
ACT-000149,WF4HA5NW,Moses Frase,call,2017-02-20,6,no_answer
ACT-000150,WF4HA5NW,Moses Frase,email,2017-02-08,13,completed
ACT-000151,WF4HA5NW,Moses Frase,demo,2016-12-18,83,completed
ACT-000152,WF4HA5NW,Moses Frase,email,2017-02-20,14,no_answer
ACT-000153,WF4HA5NW,Moses Frase,call,2016-11-21,12,completed
ACT-000154,WF4HA5NW,Moses Frase,email,2016-12-13,9,no_answer
ACT-000155,C5K2JP1H,Violet Mclelland,email,2016-12-12,8,rescheduled
ACT-000156,C5K2JP1H,Violet Mclelland,email,2016-12-09,2,completed
ACT-000157,C5K2JP1H,Violet Mclelland,call,2017-01-16,13,completed
ACT-000158,C5K2JP1H,Violet Mclelland,call,2016-11-13,43,completed
ACT-000159,C5K2JP1H,Violet Mclelland,email,2016-12-22,11,no_answer
ACT-000160,C5K2JP1H,Violet Mclelland,email,2016-12-12,2,completed
ACT-000161,ADRB8OMB,Darcel Schlecht,call,2016-11-20,9,rescheduled
ACT-000162,ADRB8OMB,Darcel Schlecht,call,2016-12-27,7,completed
ACT-000163,ADRB8OMB,Darcel Schlecht,call,2016-12-12,12,cancelled
ACT-000164,ADRB8OMB,Darcel Schlecht,meeting,2016-12-08,76,completed
ACT-000165,ADRB8OMB,Darcel Schlecht,meeting,2017-03-23,19,no_answer
ACT-000166,ADRB8OMB,Darcel Schlecht,meeting,2017-01-11,84,no_answer
ACT-000167,ADRB8OMB,Darcel Schlecht,call,2016-11-23,38,completed
ACT-000168,ADRB8OMB,Darcel Schlecht,email,2017-01-12,3,no_answer
ACT-000169,ADRB8OMB,Darcel Schlecht,email,2017-01-01,7,completed
ACT-000170,SBCR987L,Kami Bicknell,call,2017-01-30,34,completed
ACT-000171,SBCR987L,Kami Bicknell,email,2016-11-23,6,completed
ACT-000172,SBCR987L,Kami Bicknell,call,2016-11-29,29,rescheduled
ACT-000173,SBCR987L,Kami Bicknell,email,2016-11-23,7,completed
ACT-000174,SBCR987L,Kami Bicknell,email,2016-12-04,14,rescheduled
ACT-000175,SBCR987L,Kami Bicknell,meeting,2017-01-08,74,no_answer
ACT-000176,SBCR987L,Kami Bicknell,email,2016-11-19,12,completed
ACT-000177,SBCR987L,Kami Bicknell,email,2017-02-16,13,cancelled
ACT-000178,SBCR987L,Kami Bicknell,email,2016-11-26,13,completed
ACT-000179,UP409DSB,Maureen Marcano,email,2016-12-14,13,completed
ACT-000180,UP409DSB,Maureen Marcano,email,2016-11-14,3,completed
ACT-000181,UP409DSB,Maureen Marcano,call,2016-12-18,25,cancelled
ACT-000182,UP409DSB,Maureen Marcano,email,2016-12-15,2,rescheduled
ACT-000183,JSD4APT2,Versie Hillebrand,meeting,2017-02-21,52,rescheduled
ACT-000184,JSD4APT2,Versie Hillebrand,email,2017-02-22,9,completed
ACT-000185,JSD4APT2,Versie Hillebrand,email,2016-12-08,3,completed
ACT-000186,JSD4APT2,Versie Hillebrand,meeting,2016-11-17,31,completed
ACT-000187,JSD4APT2,Versie Hillebrand,follow_up,2016-12-11,10,completed
ACT-000188,AO9Z2D17,Violet Mclelland,email,2016-11-10,9,completed
ACT-000189,AO9Z2D17,Violet Mclelland,email,2017-02-21,5,no_answer
ACT-000190,AO9Z2D17,Violet Mclelland,email,2016-12-30,6,completed
ACT-000191,AO9Z2D17,Violet Mclelland,call,2017-02-13,35,completed
ACT-000192,5M58DTJK,Elease Gluck,email,2017-01-16,5,no_answer
ACT-000193,5M58DTJK,Elease Gluck,call,2016-11-22,17,no_answer
ACT-000194,5M58DTJK,Elease Gluck,email,2017-02-16,2,completed
ACT-000195,5M58DTJK,Elease Gluck,call,2017-01-08,29,completed
ACT-000196,5M58DTJK,Elease Gluck,email,2016-12-26,6,completed
ACT-000197,KNY1OSAB,Maureen Marcano,meeting,2016-12-01,60,completed
ACT-000198,KNY1OSAB,Maureen Marcano,meeting,2017-02-04,43,completed
ACT-000199,KNY1OSAB,Maureen Marcano,email,2017-01-28,3,no_answer
ACT-000200,KNY1OSAB,Maureen Marcano,meeting,2016-12-23,77,completed
ACT-000201,KNY1OSAB,Maureen Marcano,meeting,2016-12-05,86,no_answer
ACT-000202,EAZDUUM9,Rosie Papadopoulos,email,2016-11-14,11,completed
ACT-000203,EAZDUUM9,Rosie Papadopoulos,call,2016-12-07,13,no_answer
ACT-000204,2STUSOFE,Versie Hillebrand,call,2016-11-22,38,no_answer
ACT-000205,2STUSOFE,Versie Hillebrand,email,2017-02-13,9,completed
ACT-000206,2STUSOFE,Versie Hillebrand,meeting,2016-11-30,40,completed
ACT-000207,2STUSOFE,Versie Hillebrand,email,2017-02-22,11,completed
ACT-000208,2STUSOFE,Versie Hillebrand,call,2017-01-20,28,completed
ACT-000209,2STUSOFE,Versie Hillebrand,call,2016-12-04,23,completed
ACT-000210,2STUSOFE,Versie Hillebrand,email,2017-02-01,14,completed
ACT-000211,2STUSOFE,Versie Hillebrand,call,2017-02-18,40,completed
ACT-000212,2STUSOFE,Versie Hillebrand,call,2017-02-10,37,completed
ACT-000213,JYKM0B00,James Ascencio,meeting,2016-12-28,23,completed
ACT-000214,JYKM0B00,James Ascencio,follow_up,2017-01-11,15,no_answer
ACT-000215,JYKM0B00,James Ascencio,email,2016-11-30,11,completed
ACT-000216,JYKM0B00,James Ascencio,call,2017-01-14,30,completed
ACT-000217,JYKM0B00,James Ascencio,email,2017-01-07,10,completed
ACT-000218,JYKM0B00,James Ascencio,email,2016-12-05,7,completed
ACT-000219,JYKM0B00,James Ascencio,email,2017-01-30,11,completed
ACT-000220,JYKM0B00,James Ascencio,email,2017-01-06,3,no_answer
ACT-000221,JYKM0B00,James Ascencio,meeting,2017-01-20,89,rescheduled
ACT-000222,KU28360J,Kary Hendrixson,meeting,2016-12-23,71,completed
ACT-000223,KU28360J,Kary Hendrixson,email,2017-02-09,2,completed
ACT-000224,KU28360J,Kary Hendrixson,email,2017-03-08,11,completed
ACT-000225,KU28360J,Kary Hendrixson,email,2016-12-24,7,completed
ACT-000226,KU28360J,Kary Hendrixson,email,2017-02-04,7,completed
ACT-000227,KU28360J,Kary Hendrixson,call,2016-12-20,44,cancelled
ACT-000228,KU28360J,Kary Hendrixson,meeting,2017-03-06,34,no_answer
ACT-000229,KU28360J,Kary Hendrixson,email,2017-02-05,9,completed
ACT-000230,N4SD17JR,Reed Clapper,call,2017-01-13,7,completed
ACT-000231,N4SD17JR,Reed Clapper,email,2017-02-18,5,cancelled
ACT-000232,N4SD17JR,Reed Clapper,call,2016-11-23,32,completed
ACT-000233,N4SD17JR,Reed Clapper,call,2017-01-05,22,no_answer
ACT-000234,E67P9Y3Q,Rosalina Dieter,meeting,2017-01-30,54,completed
ACT-000235,E67P9Y3Q,Rosalina Dieter,meeting,2016-11-19,18,completed
ACT-000236,E67P9Y3Q,Rosalina Dieter,email,2016-12-13,12,cancelled
ACT-000237,E67P9Y3Q,Rosalina Dieter,call,2016-12-02,8,completed
ACT-000238,E67P9Y3Q,Rosalina Dieter,email,2017-02-16,5,completed
ACT-000239,E67P9Y3Q,Rosalina Dieter,email,2017-02-12,7,rescheduled
ACT-000240,E67P9Y3Q,Rosalina Dieter,call,2017-02-27,28,no_answer
ACT-000241,E67P9Y3Q,Rosalina Dieter,email,2017-02-09,6,no_answer
ACT-000242,E67P9Y3Q,Rosalina Dieter,call,2017-02-01,27,no_answer
ACT-000243,E67P9Y3Q,Rosalina Dieter,meeting,2016-11-22,47,completed
ACT-000244,AT3MMVIS,Wilburn Farren,email,2016-12-21,8,no_answer
ACT-000245,AT3MMVIS,Wilburn Farren,email,2017-02-06,4,completed
ACT-000246,AT3MMVIS,Wilburn Farren,email,2017-01-13,10,no_answer
ACT-000247,AT3MMVIS,Wilburn Farren,meeting,2017-01-27,20,completed
ACT-000248,AT3MMVIS,Wilburn Farren,email,2016-12-19,6,completed
ACT-000249,AT3MMVIS,Wilburn Farren,email,2017-03-04,9,no_answer
ACT-000250,REJ11LRY,Garret Kinder,meeting,2016-11-15,59,no_answer
ACT-000251,REJ11LRY,Garret Kinder,call,2017-03-11,18,completed
ACT-000252,REJ11LRY,Garret Kinder,email,2016-12-12,2,completed
ACT-000253,REJ11LRY,Garret Kinder,call,2017-01-29,8,completed
ACT-000254,REJ11LRY,Garret Kinder,meeting,2017-02-06,76,completed
ACT-000255,REJ11LRY,Garret Kinder,meeting,2017-01-15,83,completed
ACT-000256,ERV0CAZ7,Versie Hillebrand,demo,2017-01-24,37,completed
ACT-000257,ERV0CAZ7,Versie Hillebrand,email,2016-12-22,13,rescheduled
ACT-000258,ERV0CAZ7,Versie Hillebrand,call,2016-12-20,8,completed
ACT-000259,ERV0CAZ7,Versie Hillebrand,follow_up,2016-12-27,11,completed
ACT-000260,8SOQADK7,Anna Snelling,call,2017-01-13,31,cancelled
ACT-000261,8SOQADK7,Anna Snelling,call,2017-02-14,44,completed
ACT-000262,TCHFT25B,Darcel Schlecht,call,2016-11-26,12,completed
ACT-000263,TCHFT25B,Darcel Schlecht,email,2017-02-06,11,no_answer
ACT-000264,CZVN09WN,Darcel Schlecht,meeting,2017-01-03,27,completed
ACT-000265,CZVN09WN,Darcel Schlecht,email,2016-11-24,14,rescheduled
ACT-000266,CZVN09WN,Darcel Schlecht,call,2017-01-13,37,cancelled
ACT-000267,CZVN09WN,Darcel Schlecht,email,2017-01-21,12,completed
ACT-000268,CZVN09WN,Darcel Schlecht,email,2017-02-03,5,completed
ACT-000269,CZVN09WN,Darcel Schlecht,call,2016-12-11,37,completed
ACT-000270,CZVN09WN,Darcel Schlecht,call,2016-12-12,15,completed
ACT-000271,CZVN09WN,Darcel Schlecht,email,2016-12-11,7,completed
ACT-000272,EG7OFLFR,Kami Bicknell,call,2016-11-30,39,completed
ACT-000273,EG7OFLFR,Kami Bicknell,email,2016-12-20,2,no_answer
ACT-000274,30UQWUKB,Marty Freudenburg,email,2017-03-01,4,no_answer
ACT-000275,30UQWUKB,Marty Freudenburg,call,2017-01-20,19,rescheduled
ACT-000276,30UQWUKB,Marty Freudenburg,email,2016-12-16,10,completed
ACT-000277,30UQWUKB,Marty Freudenburg,email,2016-12-12,5,rescheduled
ACT-000278,30UQWUKB,Marty Freudenburg,email,2016-12-03,13,completed
ACT-000279,30UQWUKB,Marty Freudenburg,email,2016-11-25,7,completed
ACT-000280,30UQWUKB,Marty Freudenburg,call,2017-01-29,9,cancelled
ACT-000281,30UQWUKB,Marty Freudenburg,email,2016-11-18,7,no_answer
ACT-000282,30UQWUKB,Marty Freudenburg,call,2016-11-29,41,completed
ACT-000283,OLVI7L8M,Cassey Cress,meeting,2016-11-17,73,completed
ACT-000284,OLVI7L8M,Cassey Cress,call,2016-11-21,17,completed
ACT-000285,OLVI7L8M,Cassey Cress,email,2016-11-18,6,completed
ACT-000286,OLVI7L8M,Cassey Cress,call,2016-11-16,39,completed
ACT-000287,97UN20YY,Darcel Schlecht,meeting,2017-02-22,38,no_answer
ACT-000288,97UN20YY,Darcel Schlecht,email,2016-11-23,2,no_answer
ACT-000289,97UN20YY,Darcel Schlecht,call,2016-12-30,25,completed
ACT-000290,97UN20YY,Darcel Schlecht,meeting,2016-12-26,31,completed
ACT-000291,JXLERZ9O,Kary Hendrixson,call,2017-02-19,40,completed
ACT-000292,JXLERZ9O,Kary Hendrixson,email,2017-02-05,5,completed
ACT-000293,JXLERZ9O,Kary Hendrixson,call,2017-02-04,36,completed
ACT-000294,JXLERZ9O,Kary Hendrixson,call,2017-01-23,35,rescheduled
ACT-000295,JXLERZ9O,Kary Hendrixson,call,2016-12-27,20,completed
ACT-000296,JXLERZ9O,Kary Hendrixson,meeting,2017-01-11,22,completed
ACT-000297,JXLERZ9O,Kary Hendrixson,email,2016-12-15,2,completed
ACT-000298,6ROE69W5,Rosalina Dieter,demo,2017-02-27,65,completed
ACT-000299,6ROE69W5,Rosalina Dieter,email,2017-02-27,3,completed
ACT-000300,6ROE69W5,Rosalina Dieter,email,2017-01-26,13,cancelled
ACT-000301,6ROE69W5,Rosalina Dieter,email,2017-02-25,9,completed
ACT-000302,6ROE69W5,Rosalina Dieter,call,2017-01-20,35,no_answer
ACT-000303,6ROE69W5,Rosalina Dieter,email,2017-02-01,8,completed
ACT-000304,0DFXFKT7,Darcel Schlecht,call,2016-11-29,23,no_answer
ACT-000305,0DFXFKT7,Darcel Schlecht,email,2016-12-18,11,completed
ACT-000306,0DFXFKT7,Darcel Schlecht,meeting,2017-03-06,36,completed
ACT-000307,0DFXFKT7,Darcel Schlecht,call,2017-02-11,35,no_answer
ACT-000308,0DFXFKT7,Darcel Schlecht,call,2017-03-01,35,rescheduled
ACT-000309,0DFXFKT7,Darcel Schlecht,meeting,2017-02-12,83,no_answer
ACT-000310,XKMZVSN4,James Ascencio,meeting,2016-11-25,29,completed
ACT-000311,XKMZVSN4,James Ascencio,email,2017-01-25,13,rescheduled
ACT-000312,XKMZVSN4,James Ascencio,call,2017-02-13,27,cancelled
ACT-000313,XKMZVSN4,James Ascencio,email,2017-03-04,5,cancelled
ACT-000314,XKMZVSN4,James Ascencio,email,2016-12-03,8,completed
ACT-000315,XKMZVSN4,James Ascencio,meeting,2017-02-02,27,no_answer
ACT-000316,IU8V0BZK,Marty Freudenburg,email,2016-12-02,7,no_answer
ACT-000317,IU8V0BZK,Marty Freudenburg,call,2017-02-11,13,no_answer
ACT-000318,IU8V0BZK,Marty Freudenburg,follow_up,2016-12-14,3,rescheduled
ACT-000319,IU8V0BZK,Marty Freudenburg,email,2017-03-03,10,no_answer
ACT-000320,IU8V0BZK,Marty Freudenburg,email,2017-01-01,7,completed
ACT-000321,XY42936P,Maureen Marcano,call,2016-12-11,21,rescheduled
ACT-000322,XY42936P,Maureen Marcano,email,2017-01-15,2,completed
ACT-000323,XY42936P,Maureen Marcano,follow_up,2017-02-16,8,completed
ACT-000324,XY42936P,Maureen Marcano,email,2017-02-20,2,completed
ACT-000325,XY42936P,Maureen Marcano,call,2017-02-24,13,no_answer
ACT-000326,XY42936P,Maureen Marcano,email,2017-02-13,14,completed
ACT-000327,XRN54MBM,Niesha Huffines,email,2016-12-15,13,cancelled
ACT-000328,XRN54MBM,Niesha Huffines,email,2016-11-25,9,completed
ACT-000329,XRN54MBM,Niesha Huffines,email,2016-12-08,12,completed
ACT-000330,XRN54MBM,Niesha Huffines,email,2017-02-07,6,completed
ACT-000331,XRN54MBM,Niesha Huffines,demo,2017-01-04,89,completed
ACT-000332,XRN54MBM,Niesha Huffines,email,2017-01-01,2,cancelled
ACT-000333,XRN54MBM,Niesha Huffines,meeting,2016-12-13,60,completed
ACT-000334,XRN54MBM,Niesha Huffines,meeting,2017-02-10,17,completed
ACT-000335,XRN54MBM,Niesha Huffines,call,2017-03-03,15,cancelled
ACT-000336,XRN54MBM,Niesha Huffines,call,2016-12-02,30,completed
ACT-000337,XRN54MBM,Niesha Huffines,call,2016-12-04,42,no_answer
ACT-000338,XRN54MBM,Niesha Huffines,demo,2016-12-15,109,cancelled
ACT-000339,2V848WZD,Lajuana Vencill,meeting,2016-11-30,79,no_answer
ACT-000340,2V848WZD,Lajuana Vencill,call,2017-02-09,33,completed
ACT-000341,2V848WZD,Lajuana Vencill,email,2017-02-26,13,no_answer
ACT-000342,2V848WZD,Lajuana Vencill,email,2016-12-09,10,completed
ACT-000343,2V848WZD,Lajuana Vencill,email,2016-11-26,8,completed
ACT-000344,2V848WZD,Lajuana Vencill,email,2017-02-09,4,completed
ACT-000345,2V848WZD,Lajuana Vencill,call,2017-02-09,8,cancelled
ACT-000346,2V848WZD,Lajuana Vencill,call,2017-02-12,9,completed
ACT-000347,2V848WZD,Lajuana Vencill,demo,2016-12-28,80,completed
ACT-000348,2V848WZD,Lajuana Vencill,email,2016-12-06,8,completed
ACT-000349,2V848WZD,Lajuana Vencill,meeting,2016-11-21,22,completed
ACT-000350,ONYNTUCG,Darcel Schlecht,email,2017-03-08,5,completed
ACT-000351,ONYNTUCG,Darcel Schlecht,meeting,2016-12-15,38,no_answer
